ID_CLUB;HORA;DIA;COSTO;TIEMPO;MOMENTO_DIA
BOG01;00:00 - 01:00;L-V;32000;HORA;MANANA
BOG01;01:00 - 02:00;L-V;32000;HORA;MANANA
BOG01;02:00 - 03:00;L-V;32000;HORA;MANANA
BOG01;03:00 - 04:00;L-V;32000;HORA;MANANA
BOG01;04:00 - 05:00;L-V;32000;HORA;MANANA
BOG01;05:00 - 06:00;L-V;48000;HORA;MANANA
BOG01;06:00 - 07:00;L-V;100000;HORA;MANANA
BOG01;07:00 - 08:00;L-V;100000;HORA;MANANA
BOG01;08:00 - 09:00;L-V;72000;HORA;MANANA
BOG01;09:00 - 10:00;L-V;72000;HORA;MANANA
BOG01;10:00 - 11:00;L-V;72000;HORA;MANANA
BOG01;11:00 - 12:00;L-V;72000;HORA;MANANA
BOG01;12:00 - 13:00;L-V;60000;HORA;TARDE
BOG01;13:00 - 14:00;L-V;40000;HORA;TARDE
BOG01;14:00 - 15:00;L-V;40000;HORA;TARDE
BOG01;15:00 - 16:00;L-V;60000;HORA;TARDE
BOG01;16:00 - 17:00;L-V;60000;HORA;TARDE
BOG01;17:00 - 18:00;L-V;60000;HORA;TARDE
BOG01;18:00 - 19:00;L-V;140000;HORA;NOCHE
BOG01;19:00 - 20:00;L-V;140000;HORA;NOCHE
BOG01;20:00 - 21:00;L-V;140000;HORA;NOCHE
BOG01;00:00 - 01:00;S-F;32000;HORA;MANANA
BOG01;01:00 - 02:00;S-F;32000;HORA;MANANA
BOG01;02:00 - 03:00;S-F;32000;HORA;MANANA
BOG01;03:00 - 04:00;S-F;32000;HORA;MANANA
BOG01;04:00 - 05:00;S-F;32000;HORA;MANANA
BOG01;05:00 - 06:00;S-F;48000;HORA;MANANA
BOG01;06:00 - 07:00;S-F;100000;HORA;MANANA
BOG01;07:00 - 08:00;S-F;100000;HORA;MANANA
BOG01;08:00 - 09:00;S-F;100000;HORA;MANANA
BOG01;09:00 - 10:00;S-F;140000;HORA;MANANA
BOG01;10:00 - 11:00;S-F;140000;HORA;MANANA
BOG01;11:00 - 12:00;S-F;140000;HORA;MANANA
BOG01;12:00 - 13:00;S-F;100000;HORA;TARDE
BOG01;13:00 - 14:00;S-F;100000;HORA;TARDE
BOG01;14:00 - 15:00;S-F;100000;HORA;TARDE
BOG01;15:00 - 16:00;S-F;100000;HORA;TARDE
BOG01;16:00 - 17:00;S-F;100000;HORA;TARDE
BOG01;17:00 - 18:00;S-F;100000;HORA;TARDE
BOG01;18:00 - 19:00;S-F;100000;HORA;NOCHE
BOG01;19:00 - 20:00;S-F;100000;HORA;NOCHE
BOG01;20:00 - 21:00;S-F;100000;HORA;NOCHE
BOG01;21:00 - 22:00;S-F;100000;HORA;NOCHE
BOG01;22:00 - 23:00;S-F;48000;HORA;NOCHE
BOG02;09:00 - 10:00;L-V;60000;HORA;MANANA
BOG02;10:00 - 11:00;L-V;60000;HORA;MANANA
BOG02;11:00 - 12:00;L-V;60000;HORA;MANANA
BOG02;12:00 - 13:00;L-V;60000;HORA;TARDE
BOG02;13:00 - 14:00;L-V;60000;HORA;TARDE
BOG02;14:00 - 15:00;L-V;60000;HORA;TARDE
BOG02;15:00 - 16:00;L-V;60000;HORA;TARDE
BOG02;12:00 - 13:00;S-F;70000;HORA;TARDE
BOG02;13:00 - 14:00;S-F;70000;HORA;TARDE
BOG02;14:00 - 15:00;S-F;70000;HORA;TARDE
BOG02;15:00 - 16:00;S-F;70000;HORA;TARDE
BOG02;16:00 - 17:00;S-F;70000;HORA;TARDE
BOG02;17:00 - 18:00;S-F;70000;HORA;TARDE
BOG02;18:00 - 19:00;S-F;70000;HORA;NOCHE
BOG02;19:00 - 20:00;S-F;70000;HORA;NOCHE
BOG02;20:00 - 21:00;S-F;70000;HORA;NOCHE
BOG02;21:00 - 22:00;S-F;70000;HORA;NOCHE
BOG03;06:00 - 07:00;L-V;100000;HORA;MANANA
BOG03;07:00 - 08:00;L-V;100000;HORA;MANANA
BOG03;08:00 - 09:00;L-V;80000;HORA;MANANA
BOG03;09:00 - 10:00;L-V;80000;HORA;MANANA
BOG03;10:00 - 11:00;L-V;80000;HORA;MANANA
BOG03;11:00 - 12:00;L-V;80000;HORA;MANANA
BOG03;12:00 - 13:00;L-V;80000;HORA;TARDE
BOG03;13:00 - 14:00;L-V;80000;HORA;TARDE
BOG03;14:00 - 15:00;L-V;80000;HORA;TARDE
BOG03;15:00 - 16:00;L-V;80000;HORA;TARDE
BOG03;16:00 - 17:00;L-V;80000;HORA;TARDE
BOG03;17:00 - 18:00;L-V;100000;HORA;TARDE
BOG03;18:00 - 19:00;L-V;100000;HORA;NOCHE
BOG03;19:00 - 20:00;L-V;100000;HORA;NOCHE
BOG03;20:00 - 21:00;L-V;100000;HORA;NOCHE
BOG03;06:00 - 07:00;S-F;100000;HORA;MANANA
BOG03;07:00 - 08:00;S-F;100000;HORA;MANANA
BOG03;08:00 - 09:00;S-F;100000;HORA;MANANA
BOG03;09:00 - 10:00;S-F;100000;HORA;MANANA
BOG03;10:00 - 11:00;S-F;100000;HORA;MANANA
BOG03;11:00 - 12:00;S-F;100000;HORA;MANANA
BOG03;12:00 - 13:00;S-F;100000;HORA;TARDE
BOG03;13:00 - 14:00;S-F;100000;HORA;TARDE
BOG03;14:00 - 15:00;S-F;100000;HORA;TARDE
